"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2407","Login as an existing user","","Tue Nov 18 18:16:01 UTC 2025","passed","Tue Nov 18 18:16:04 UTC 2025","","LogInUserTests","LogInUserTests","testLoginValidUserIsSuccessful"
"","528","Create a user without an email","","Tue Nov 18 18:16:15 UTC 2025","passed","Tue Nov 18 18:16:16 UTC 2025","","CreateUserTests","CreateUserTests","testCreateUserWithoutEmailReturnsError"
"","1868","Create a unique user","","Tue Nov 18 18:16:13 UTC 2025","passed","Tue Nov 18 18:16:15 UTC 2025","","CreateUserTests","CreateUserTests","testCreateUniqueUserIsSuccessful"
"","567","Create a user without a name","","Tue Nov 18 18:16:10 UTC 2025","passed","Tue Nov 18 18:16:11 UTC 2025","","CreateUserTests","CreateUserTests","testCreateUserWithoutNameReturnsError"
"","537","Login with empty password","","Tue Nov 18 18:16:04 UTC 2025","passed","Tue Nov 18 18:16:05 UTC 2025","","LogInUserTests","LogInUserTests","testNoPasswordLoginReturnsError"
"","565","Create an order without authorization and without ingredients","","Tue Nov 18 18:16:00 UTC 2025","passed","Tue Nov 18 18:16:01 UTC 2025","","CreateOrderTests","CreateOrderTests","testCreateEmptyOrderWithNoAuth"
"","2341","Create an order with authorization and without ingredients","","Tue Nov 18 18:15:58 UTC 2025","passed","Tue Nov 18 18:16:00 UTC 2025","","CreateOrderTests","CreateOrderTests","testCreateEmptyOrderWithAuth"
"","6569","Get orders of an authorized user","","Tue Nov 18 18:15:44 UTC 2025","passed","Tue Nov 18 18:15:51 UTC 2025","","GetUserOrdersTests","GetUserOrdersTests","testGetOrdersOfAuthUserIsSuccessful"
"","2281","Create a user who is already registered","","Tue Nov 18 18:16:11 UTC 2025","passed","Tue Nov 18 18:16:13 UTC 2025","","CreateUserTests","CreateUserTests","testCreateDuplicateUserReturnsError"
"","2290","Update user info without authorization","","Tue Nov 18 18:16:05 UTC 2025","passed","Tue Nov 18 18:16:07 UTC 2025","","UpdateUserInfoTests","UpdateUserInfoTests","testUpdateUserInfoWithoutAuthReturnsError"
"","1182","Create an order without authorization but with ingredients","","Tue Nov 18 18:15:51 UTC 2025","passed","Tue Nov 18 18:15:52 UTC 2025","","CreateOrderTests","CreateOrderTests","testCreateOrderWithNoAuth"
"","5930","Create an order with authorization and with ingredients","","Tue Nov 18 18:15:52 UTC 2025","passed","Tue Nov 18 18:15:58 UTC 2025","","CreateOrderTests","CreateOrderTests","testCreateOrderWithAuth"
"","2962","Update user info with authorization","","Tue Nov 18 18:16:07 UTC 2025","passed","Tue Nov 18 18:16:10 UTC 2025","","UpdateUserInfoTests","UpdateUserInfoTests","testUpdateUserInfoWithAuthIsSuccessful"
"","4618","Get orders of an unauthorized user","","Tue Nov 18 18:15:39 UTC 2025","passed","Tue Nov 18 18:15:44 UTC 2025","","GetUserOrdersTests","GetUserOrdersTests","testGetOrdersOfNoAuthUserReturnsError"
"","564","Login with empty email and password","","Tue Nov 18 18:16:04 UTC 2025","passed","Tue Nov 18 18:16:04 UTC 2025","","LogInUserTests","LogInUserTests","testEmptyLoginReturnsError"
"","745","Login with empty email","","Tue Nov 18 18:16:01 UTC 2025","passed","Tue Nov 18 18:16:01 UTC 2025","","LogInUserTests","LogInUserTests","testNoEmailLoginReturnsError"
"","555","Create a user without a password","","Tue Nov 18 18:16:15 UTC 2025","passed","Tue Nov 18 18:16:15 UTC 2025","","CreateUserTests","CreateUserTests","testCreateUserWithoutPasswordReturnsError"
